,Ads_Details,Ad_link,Ad_Price,Ads_from,Total Review
0,Samsung Galaxy F62  6GB RAM  128GB  Black   Flagship 7nm Exynos 9825 Processor,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAEGgJzZg&sig=AOD64_0nVN7zYBMtXhot1ib7Hj0SRgIuFA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BAgCEEE&adurl=,"₹19,999",Samsung.com,(1k+)
1,"Samsung Galaxy M31  6GB RAM 128 GB Storage Blue Mega 64MP Quad camera Infinity-U Display 6,000mAh battery and 15W Fast Charging",https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAGGgJzZg&sig=AOD64_2muVlJoskY1K1PVkRVTReHHSKFNg&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BAgCEEk&adurl=,"₹19,999",Samsung.com,(1k+)
2,Samung Galaxy M21 2021   4GB  64GB   Light Blue   2.3GHz Octa-Core Processor   6000mAh Battery,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAHGgJzZg&sig=AOD64_0XKBv_fcvltdNgPTdq_Vw3qWJdDw&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BAgCEFY&adurl=,"₹19,999",Samsung.com,(1k+)
3,Samung Galaxy A22   8GB  128GB   Gray   2GHz Octa-Core Processor   5000mAh Battery,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAFGgJzZg&sig=AOD64_2R6K9Y_YMeH2m4sQQv-Ar8r11Fiw&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BAgCEF4&adurl=,"₹19,999",Samsung.com,(1k+)
4,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABANGgJzZg&sig=AOD64_2oIkTB25uzYSSV5mRx9yaZlKQWEA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BAgCEGs&adurl=,"₹19,999",Samsung.com,(1k+)
5,Galaxy M31s (8GB RAM)   Mirage Black   64MP Quad Camera   Super AMOLED Infinity-O Display   6000 mAh Battery,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAMGgJzZg&sig=AOD64_1n6PYSlogL1pIt1o5bMAXnhteRdA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BAgCEHM&adurl=,"₹19,999",Samsung.com,(1k+)
6,Samsung Galaxy M32   6GB   128GB   Black   2GHz Octa-Core Processor   6000mAh Battery,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAOGgJzZg&sig=AOD64_1x_7djw-8g5-dVPF3W_eU-7b_brg&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEIAB&adurl=,"₹19,999",Samsung.com,(1k+)
7,Samsung Galaxy M32   6GB   128GB   Blue   2GHz Octa-Core Processor   6000mAh Battery,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAPGgJzZg&sig=AOD64_2f4hICdFXhf_z7LPYBEN6kVd2fgA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEIgB&adurl=,"₹19,999",Samsung.com,(1k+)
8,Samung Galaxy A22   6GB  128GB  Mint   2GHz Octa-Core Processor   5000mAh Battery,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAUGgJzZg&sig=AOD64_3UDPKzzv8fJ96IF6786Ewb6S9-xg&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEJAB&adurl=,"₹19,999",Samsung.com,(1k+)
9,"Samsung Galaxy M21 2021 Edition (Charcoal black , 6GB RAM, 128GB Storage)   FHD+ sAMOLED   6 Months Free Screen Replacement for Prime",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAWGgJzZg&sig=AOD64_2bYyPefR34QUraoSRnw_g40LoDTA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEJ0B&adurl=,"₹19,999",Samsung.com,(1k+)
10,Samsung Galaxy S21 5G   256GB   Phantom Violet   8K Video   Dynamic AMOLED 2X,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAVGgJzZg&sig=AOD64_1wZNEqzd4v8eLlnVy3fyICC4t-Zw&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEKUB&adurl=,"₹19,999",Samsung.com,(1k+)
11,"Galaxy M02s (4GB RAM)   Black  64GB   16.55cm (6.5"") HD+ Infinity - V Display   5000mAh Battery",https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAXGgJzZg&sig=AOD64_2aTIW9x79BZlwaPQe7xUjCWqnCVw&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCELIB&adurl=,"₹19,999",Samsung.com,(1k+)
12,"Galaxy A12 (4GB RAM)   Blue   128GB  16.55cm (6.5"") HD+ Infinity - V Display   True 48MP Quad Camera",https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAcGgJzZg&sig=AOD64_1yQdxMMi6Olmqdv6VXR7pamkJbtw&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCELoB&adurl=,"₹19,999",Samsung.com,(1k+)
13,"Samsung Galaxy M42 5G (Prism Dot Black, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAeGgJzZg&sig=AOD64_0OznLtgAtTUXtnn5uh4Nh-Tdp8-Q&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEMcB&adurl=,"₹19,999",Samsung.com,(1k+)
14,Samsung Galaxy Note20   Mystic Bronze   Infinity-o-Display   30X Super Resolution Zoom   8K Video Recording  4300mAh Battery,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAdGgJzZg&sig=AOD64_1F2ufsTCHU-v3-T2v-3T_pLkr6lQ&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEM8B&adurl=,"₹19,999",Samsung.com,(1k+)
15,"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAfGgJzZg&sig=AOD64_3su23sQah5PpqcQijVbbqLKx_L3g&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCENwB&adurl=,"₹19,999",Samsung.com,(1k+)
16,Samsung Galaxy S20 FE 5G   8GB RAM   128GB   Cloud Navy   Snapdragon 865   120Hz display   Pro-grade Camera.,https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAkGgJzZg&sig=AOD64_2_qW7ctKH9H6ZdOODtGAGJTeIRAw&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEOQB&adurl=,"₹19,999",Samsung.com,(1k+)
17,"Samsung Galaxy A12 Mobile (4GB, 64GB, Blue)",https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAlGgJzZg&sig=AOD64_26rLYyEU5lSoTNJCuVX5OV6gYpIA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEPEB&adurl=,"₹19,999",Samsung.com,(1k+)
18,"Samsung Galaxy M42 5G (Prism Dot Gray, 8GB RAM, 128GB Storage)",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAmGgJzZg&sig=AOD64_2zKs4N0EZ-AXtJaynmFH3QJIP6fA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEPkB&adurl=,"₹19,999",Samsung.com,(1k+)
19,"Galaxy M02 (3GB RAM)   Black   32GB  16.55cm (6.5"") HD+ Infinity - V Display   5000mAh Battery   13MP Dual Camera",https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAnGgJzZg&sig=AOD64_0QRol1KCWvO9Wlp9bLxwYh59TvuA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEIEC&adurl=,"₹19,999",Samsung.com,(1k+)
20,"Samsung Galaxy M02s (Black,4GB RAM, 64GB Storage)   5000 mAh   Triple Camera",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAsGgJzZg&sig=AOD64_0-Wx4IkY-AyfVhkddBd6k_wd-7FA&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEI4C&adurl=,"₹19,999",Samsung.com,(1k+)
21,"Galaxy A31   Prism Crush Blue   6 GB RAM   5,000mAh battery   Awesome 48MP Quad camera   16.21cm(6.4"") Infinity-U sAMOLED display",https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABArGgJzZg&sig=AOD64_3Hj2kjmHjNzx_gQtH-nmWaREAliw&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEJYC&adurl=,"₹19,999",Samsung.com,(1k+)
22,"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAtGgJzZg&sig=AOD64_1BFhaUjnIR_qIt_Hwf2dzQ8PxjdQ&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEKMC&adurl=,"₹19,999",Samsung.com,(1k+)
23,"Galaxy A31   Prism Crush Black   6 GB RAM   5,000mAh battery   Awesome 48MP Quad camera   16.21cm(6.4"") Infinity-U sAMOLED display",https://www.googleadservices.com/aclk?sa=l&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAxGgJzZg&sig=AOD64_05lR-g1NLuMqjSpKOobWLOOe6z3A&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCEKsC&adurl=,"₹19,999",Samsung.com,(1k+)
24,"Samsung Galaxy A21s (Blue, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",https://www.googleadservices.com/aclk?sa=L&ai=DChcSEwjYrpuFw8fyAhU1KXIKHUb0D8cYABAwGgJzZg&sig=AOD64_0RUJSY-NmQOTSOeisMUQ20esqCQg&ctype=5&q=&ved=2ahUKEwib3pGFw8fyAhVWwjgGHSAiAe4Qww96BQgCELgC&adurl=,"₹19,999",Samsung.com,(1k+)
